,1stFlrSF,2ndFlrSF,3SsnPorch,Alley,BedroomAbvGr,BldgType,BsmtCond,BsmtExposure,BsmtFinSF1,BsmtFinSF2,BsmtFinType1,BsmtFinType2,BsmtFullBath,BsmtHalfBath,BsmtQual,BsmtUnfSF,CentralAir,Condition1,Condition2,Electrical,EnclosedPorch,ExterCond,ExterQual,Exterior1st,Exterior2nd,Fence,FireplaceQu,Fireplaces,Foundation,FullBath,Functional,GarageArea,GarageCars,GarageCond,GarageFinish,GarageQual,GarageType,GarageYrBlt,GrLivArea,HalfBath,Heating,HeatingQC,HouseStyle,Id,KitchenAbvGr,KitchenQual,LandContour,LandSlope,LotArea,LotConfig,LotFrontage,LotShape,LowQualFinSF,MSSubClass,MSZoning,MasVnrArea,MasVnrType,MiscFeature,MiscVal,MoSold,Neighborhood,OpenPorchSF,OverallCond,OverallQual,PavedDrive,PoolArea,PoolQC,RoofMatl,RoofStyle,SaleCondition,SalePrice,SaleType,ScreenPorch,Street,TotRmsAbvGrd,TotalBsmtSF,Utilities,WoodDeckSF,YearBuilt,YearRemodAdd,YrSold
10,1337,0,0,,2,TwnhsE,TA,No,1051.0,0.0,GLQ,BLQ,1.0,0.0,Gd,354.0,Y,Norm,Norm,SBrkr,0,TA,Gd,MetalSd,MetalSd,,Fa,1,PConc,2,Typ,511.0,2.0,TA,Fin,TA,Attchd,1999.0,1337,0,GasA,Ex,1Story,1471,1,Gd,Lvl,Gtl,5858,FR2,26.0,IR1,0,120,RH,0.0,None,,0,6,NAmes,68,5,7,Y,0,,CompShg,Gable,Normal,,WD,0,Pave,5,1405.0,AllPub,203,1999,1999,2010
11,483,504,0,,2,Twnhs,TA,No,156.0,0.0,Rec,Unf,0.0,0.0,TA,327.0,Y,Norm,Norm,SBrkr,0,TA,TA,HdBoard,HdBoard,,,0,CBlock,1,Typ,264.0,1.0,TA,Unf,TA,Detchd,1971.0,987,1,GasA,TA,2Story,1472,1,TA,Lvl,Gtl,1680,Inside,21.0,Reg,0,160,RM,504.0,BrkFace,,0,2,BrDale,0,5,6,Y,0,,CompShg,Gable,Normal,,COD,0,Pave,5,483.0,AllPub,275,1971,1971,2010
12,525,567,0,,3,Twnhs,TA,No,300.0,0.0,Rec,Unf,0.0,0.0,TA,225.0,Y,Norm,Norm,SBrkr,0,TA,TA,HdBoard,HdBoard,,,0,CBlock,1,Typ,320.0,1.0,TA,Unf,TA,Detchd,1997.0,1092,1,GasA,TA,2Story,1473,1,TA,Lvl,Gtl,1680,Inside,21.0,Reg,0,160,RM,492.0,BrkFace,,0,3,BrDale,0,5,5,Y,0,,CompShg,Gable,Normal,,WD,0,Pave,6,525.0,AllPub,0,1971,1971,2010
13,855,601,0,,3,Twnhs,TA,No,514.0,0.0,ALQ,Unf,0.0,0.0,TA,341.0,Y,Norm,Norm,SBrkr,0,TA,TA,Plywood,Brk Cmn,,TA,1,CBlock,2,Typ,440.0,2.0,TA,Unf,TA,Attchd,1975.0,1456,1,GasA,TA,2Story,1474,1,Gd,Lvl,Gtl,2280,FR2,24.0,Reg,0,160,RL,0.0,None,,0,6,NPkVill,0,6,6,Y,0,,CompShg,Gable,Normal,,WD,0,Pave,6,855.0,AllPub,173,1975,1975,2010
14,836,0,0,,2,Twnhs,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,Gd,836.0,Y,Norm,Norm,SBrkr,0,TA,TA,Plywood,Brk Cmn,,,0,CBlock,1,Typ,308.0,1.0,TA,Unf,TA,Attchd,1975.0,836,0,GasA,Ex,1Story,1475,1,TA,Lvl,Gtl,2280,FR2,24.0,Reg,0,120,RL,0.0,None,,0,6,NPkVill,30,6,7,Y,0,,CompShg,Gable,Normal,,WD,0,Pave,4,836.0,AllPub,0,1975,1975,2010
15,1627,707,0,,3,1Fam,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,Ex,1590.0,Y,Norm,Norm,SBrkr,0,TA,Ex,VinylSd,VinylSd,,Gd,1,PConc,2,Typ,751.0,3.0,TA,Fin,TA,Attchd,2009.0,2334,1,GasA,Ex,2Story,1476,1,Ex,Lvl,Gtl,12858,Inside,102.0,IR1,0,60,RL,162.0,Stone,,0,1,NridgHt,133,5,9,Y,0,,CompShg,Gable,Partial,,New,0,Pave,10,1590.0,AllPub,144,2009,2010,2010
16,1544,0,0,,3,1Fam,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,Gd,1544.0,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,,,0,PConc,2,Typ,868.0,3.0,TA,RFn,TA,Attchd,2009.0,1544,0,GasA,Ex,1Story,1477,1,Gd,Lvl,Gtl,12883,Corner,94.0,IR1,0,20,RL,256.0,Stone,,0,6,NridgHt,35,5,8,Y,0,,CompShg,Gable,Partial,,New,0,Pave,7,1544.0,AllPub,0,2009,2010,2010
17,1698,0,0,,3,1Fam,TA,No,110.0,0.0,GLQ,Unf,0.0,0.0,Ex,1588.0,Y,PosN,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,,Gd,1,PConc,2,Typ,730.0,3.0,TA,Fin,TA,Attchd,2005.0,1698,0,GasA,Ex,1Story,1478,1,Ex,Lvl,Gtl,11520,Inside,90.0,Reg,0,20,RL,615.0,BrkFace,,0,6,NridgHt,74,5,9,Y,0,,CompShg,Hip,Normal,,WD,0,Pave,7,1698.0,AllPub,192,2005,2005,2010
18,1822,0,0,,3,1Fam,TA,No,28.0,0.0,GLQ,Unf,0.0,0.0,Ex,1794.0,Y,Norm,Norm,SBrkr,0,TA,Gd,CemntBd,CmentBd,,Gd,1,PConc,2,Typ,678.0,3.0,TA,RFn,TA,Attchd,2005.0,1822,0,GasA,Ex,1Story,1479,1,Ex,Lvl,Gtl,14122,Inside,79.0,IR1,0,20,RL,240.0,BrkFace,,0,2,NridgHt,119,5,8,Y,0,,CompShg,Hip,Normal,,WD,0,Pave,8,1822.0,AllPub,0,2005,2006,2010
19,2696,0,0,,3,1Fam,TA,Gd,1373.0,0.0,GLQ,Unf,1.0,0.0,Ex,1473.0,Y,Norm,Norm,SBrkr,0,TA,Ex,VinylSd,VinylSd,,Gd,2,PConc,2,Typ,958.0,3.0,TA,Fin,TA,Attchd,2003.0,2696,1,GasA,Ex,1Story,1480,1,Ex,HLS,Mod,14300,Inside,110.0,Reg,0,20,RL,1095.0,BrkFace,,0,6,NridgHt,150,5,9,Y,0,,CompShg,Hip,Normal,,WD,0,Pave,10,2846.0,AllPub,220,2003,2004,2010
20,1687,563,0,,3,1Fam,TA,Gd,578.0,0.0,GLQ,Unf,1.0,0.0,Gd,1093.0,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,,Ex,1,PConc,2,Typ,756.0,3.0,TA,Fin,TA,Attchd,2002.0,2250,1,GasA,Ex,2Story,1481,1,Gd,Lvl,Gtl,13650,Corner,105.0,Reg,0,60,RL,232.0,BrkFace,,0,6,NridgHt,130,5,8,Y,0,,CompShg,Gable,Normal,,WD,0,Pave,7,1671.0,AllPub,238,2002,2002,2010
21,1370,0,0,,2,TwnhsE,TA,Mn,24.0,0.0,GLQ,Unf,0.0,0.0,Gd,1346.0,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,,Gd,1,PConc,2,Typ,484.0,2.0,TA,RFn,TA,Attchd,2006.0,1370,0,GasA,Ex,1Story,1482,1,Gd,Lvl,Gtl,7132,Inside,41.0,IR1,0,120,RL,178.0,Stone,,0,4,NridgHt,49,5,8,Y,0,,CompShg,Gable,Normal,,WD,0,Pave,6,1370.0,AllPub,120,2006,2006,2010
22,1324,0,0,,3,1Fam,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,Gd,1324.0,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,,,0,PConc,2,Typ,430.0,2.0,TA,Fin,TA,Attchd,2005.0,1324,0,GasA,Ex,1Story,1483,1,Gd,Lvl,Gtl,18494,Corner,100.0,IR1,0,20,RL,0.0,None,,0,1,Gilbert,23,5,6,Y,0,,CompShg,Gable,Normal,,WD,0,Pave,6,1324.0,AllPub,36,2005,2005,2010
23,1145,0,0,,2,TwnhsE,TA,Av,16.0,0.0,GLQ,Unf,0.0,0.0,Gd,1129.0,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,,,0,PConc,2,Typ,437.0,2.0,TA,Fin,TA,Attchd,2006.0,1145,0,GasA,Ex,1Story,1484,1,Gd,Lvl,Gtl,3203,Inside,43.0,Reg,0,120,RL,14.0,BrkFace,,0,1,Blmngtn,116,5,7,Y,0,,CompShg,Gable,Normal,,WD,0,Pave,6,1145.0,AllPub,100,2006,2006,2010
24,744,630,0,,3,1Fam,TA,No,326.0,0.0,GLQ,Unf,1.0,0.0,Gd,58.0,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,,Gd,1,PConc,2,Typ,400.0,2.0,TA,Fin,TA,BuiltIn,2004.0,1374,1,GasA,Ex,SLvl,1485,1,Gd,Lvl,Gtl,13300,Inside,67.0,IR1,0,80,RL,0.0,None,,0,6,Gilbert,0,5,7,Y,0,,CompShg,Gable,Normal,,WD,0,Pave,7,384.0,AllPub,100,2004,2004,2010
25,847,886,0,,3,1Fam,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,Gd,847.0,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,,Gd,1,PConc,2,Typ,433.0,2.0,TA,Fin,TA,BuiltIn,2004.0,1733,1,GasA,Ex,2Story,1486,1,Gd,Lvl,Gtl,8577,Inside,63.0,IR1,0,60,RL,0.0,None,,0,4,Gilbert,48,5,7,Y,0,,CompShg,Gable,Normal,,WD,0,Pave,7,847.0,AllPub,144,2004,2004,2010
26,1645,830,0,,4,1Fam,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,Ex,1629.0,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,,TA,1,PConc,2,Typ,962.0,3.0,TA,Fin,TA,Attchd,1998.0,2475,1,GasA,Ex,2Story,1487,1,Gd,Lvl,Gtl,17433,CulDSac,60.0,IR2,0,60,RL,114.0,BrkFace,,0,1,NoRidge,172,5,8,Y,0,,CompShg,Hip,Normal,,WD,256,Pave,7,1629.0,AllPub,23,1998,1998,2010
27,1595,0,0,,2,1Fam,TA,,0.0,0.0,Unf,Unf,0.0,0.0,Gd,1595.0,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,,Gd,1,PConc,2,Typ,880.0,3.0,TA,RFn,TA,Attchd,2005.0,1595,0,GasA,Ex,1Story,1488,1,Gd,Lvl,Gtl,8987,Inside,73.0,Reg,0,20,RL,226.0,BrkFace,,0,5,Somerst,0,5,8,Y,0,,CompShg,Gable,Normal,,WD,0,Pave,6,1595.0,AllPub,144,2005,2006,2010
28,1218,0,0,,2,1Fam,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,Gd,1218.0,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,,,0,PConc,2,Typ,676.0,2.0,TA,RFn,TA,Attchd,2009.0,1218,0,GasA,Ex,1Story,1489,1,Gd,Lvl,Gtl,9215,Inside,92.0,Reg,0,20,FV,0.0,None,,0,4,Somerst,136,5,7,Y,0,,CompShg,Hip,Partial,,New,0,Pave,4,1218.0,AllPub,0,2009,2010,2010
29,1468,0,0,,2,1Fam,TA,No,1414.0,0.0,GLQ,Unf,1.0,0.0,Ex,54.0,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,,Gd,1,PConc,2,Typ,528.0,2.0,TA,Fin,TA,Attchd,2005.0,1468,0,GasA,Ex,1Story,1490,1,Gd,Lvl,Gtl,10440,Corner,84.0,Reg,0,20,FV,0.0,None,,0,5,Somerst,102,5,6,Y,0,,CompShg,Gable,Normal,,WD,216,Pave,6,1468.0,AllPub,0,2005,2005,2010
30,831,828,0,,3,1Fam,TA,Av,0.0,0.0,Unf,Unf,0.0,0.0,Gd,831.0,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,,,0,PConc,2,Typ,484.0,2.0,TA,RFn,TA,Attchd,2004.0,1659,1,GasA,Ex,2Story,1491,1,Gd,Lvl,Gtl,11920,Inside,70.0,Reg,0,60,RL,122.0,BrkFace,,0,4,SawyerW,68,5,7,Y,0,,CompShg,Gable,Normal,,WD,0,Pave,8,831.0,AllPub,144,2004,2004,2010
31,1012,0,0,,2,1Fam,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,TA,816.0,N,Feedr,Norm,FuseA,80,Fa,TA,Wd Sdng,Wd Sdng,,,0,BrkTil,1,Typ,429.0,1.0,TA,Unf,TA,Detchd,1920.0,1012,0,GasA,TA,1Story,1492,1,TA,Lvl,Gtl,9800,Corner,70.0,Reg,0,30,RH,0.0,None,,0,4,SawyerW,0,5,5,Y,0,,CompShg,Gable,Normal,,WD,0,Pave,5,816.0,AllPub,121,1920,1950,2010
32,1494,0,0,,3,1Fam,TA,Gd,126.0,859.0,BLQ,GLQ,1.0,0.0,TA,223.0,Y,RRNe,Norm,SBrkr,186,Gd,TA,Plywood,Plywood,GdPrv,Fa,2,CBlock,2,Typ,461.0,2.0,TA,Fin,TA,Attchd,1974.0,1494,0,GasA,Ex,1Story,1493,1,TA,Lvl,Gtl,15410,CulDSac,39.0,IR1,0,20,RL,250.0,BrkCmn,,0,4,Sawyer,0,6,6,Y,0,,CompShg,Hip,Abnorml,,WD,0,Pave,7,1208.0,AllPub,296,1974,2002,2010
33,1251,1098,0,,4,1Fam,TA,No,250.0,981.0,LwQ,GLQ,1.0,0.0,Gd,0.0,Y,Norm,Norm,SBrkr,0,TA,Gd,HdBoard,ImStucc,,TA,1,PConc,2,Typ,762.0,3.0,TA,RFn,TA,Attchd,1993.0,2349,1,GasA,Ex,2Story,1494,1,Gd,Lvl,Gtl,13143,Inside,85.0,IR1,0,60,RL,504.0,BrkFace,,0,6,NoRidge,130,5,8,Y,0,,CompShg,Gable,Normal,,WD,0,Pave,9,1231.0,AllPub,32,1993,1993,2010
34,1402,823,0,,4,1Fam,TA,No,1129.0,0.0,GLQ,Unf,1.0,0.0,Gd,261.0,Y,Norm,Norm,SBrkr,0,TA,Gd,HdBoard,HdBoard,,TA,1,PConc,2,Typ,713.0,3.0,TA,RFn,TA,Attchd,1992.0,2225,1,GasA,Ex,2Story,1495,1,Gd,Lvl,Gtl,11134,Inside,88.0,Reg,0,60,RL,180.0,BrkFace,,0,6,NoRidge,30,5,8,Y,0,,CompShg,Gable,Normal,,WD,0,Pave,7,1390.0,AllPub,198,1992,1993,2010
35,1488,0,0,,2,TwnhsE,TA,Av,1298.0,0.0,GLQ,Unf,1.0,0.0,Ex,190.0,Y,Norm,Norm,SBrkr,0,TA,Gd,MetalSd,MetalSd,,Gd,1,PConc,2,Typ,506.0,2.0,TA,Fin,TA,Attchd,2004.0,1488,0,GasA,Ex,1Story,1496,1,Gd,Lvl,Gtl,4835,CulDSac,25.0,IR1,0,120,FV,0.0,None,,0,3,Somerst,50,5,7,Y,0,,CompShg,Gable,Normal,,WD,0,Pave,6,1488.0,AllPub,168,2004,2005,2010
36,840,840,0,Pave,2,TwnhsE,TA,No,0.0,0.0,Unf,Unf,0.0,0.0,Gd,840.0,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,,,0,PConc,2,Typ,588.0,2.0,TA,RFn,TA,Attchd,2004.0,1680,1,GasA,Ex,2Story,1497,1,Gd,Lvl,Gtl,3515,Inside,39.0,Reg,0,160,FV,0.0,None,,0,1,Somerst,111,5,7,Y,0,,CompShg,Gable,Normal,,WD,0,Pave,3,840.0,AllPub,0,2004,2004,2010
37,600,600,0,Pave,2,TwnhsE,TA,Av,280.0,0.0,GLQ,Unf,0.0,0.0,Gd,320.0,Y,Norm,Norm,SBrkr,0,TA,Gd,MetalSd,MetalSd,,,0,PConc,2,Typ,480.0,2.0,TA,RFn,TA,Detchd,2004.0,1200,1,GasA,Ex,2Story,1498,1,Gd,Lvl,Gtl,3215,Inside,30.0,Reg,0,160,FV,120.0,BrkFace,,0,4,Somerst,172,5,7,Y,0,,CompShg,Gable,Normal,,ConLD,0,Pave,4,600.0,AllPub,0,2004,2004,2010
38,600,600,0,Pave,2,Twnhs,TA,No,368.0,42.0,GLQ,ALQ,1.0,0.0,Gd,190.0,Y,Norm,Norm,SBrkr,0,TA,Gd,MetalSd,MetalSd,,,0,PConc,2,Typ,480.0,2.0,TA,RFn,TA,Detchd,2004.0,1200,1,GasA,Ex,2Story,1499,1,Gd,Lvl,Gtl,2544,Inside,24.0,Reg,0,160,FV,0.0,None,,0,2,Somerst,172,5,7,Y,0,,CompShg,Gable,Normal,,WD,0,Pave,4,600.0,AllPub,0,2004,2005,2010
39,600,636,0,Pave,2,Twnhs,TA,No,376.0,0.0,GLQ,Unf,1.0,0.0,Gd,224.0,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,,,0,PConc,2,Typ,480.0,2.0,TA,RFn,TA,Detchd,2005.0,1236,1,GasA,Ex,2Story,1500,1,Gd,Lvl,Gtl,2544,Inside,24.0,Reg,0,160,FV,216.0,BrkFace,,0,5,Somerst,166,5,6,Y,0,,CompShg,Gable,Normal,,WD,0,Pave,4,600.0,AllPub,0,2005,2005,2010
40,756,756,0,,2,TwnhsE,TA,No,466.0,0.0,GLQ,Unf,1.0,0.0,Gd,290.0,Y,Norm,Norm,SBrkr,0,TA,Gd,MetalSd,MetalSd,,,0,PConc,2,Typ,440.0,2.0,TA,Unf,TA,Detchd,2000.0,1512,1,GasA,Ex,2Story,1501,1,Gd,Lvl,Gtl,2980,Corner,,Reg,0,160,FV,1159.0,BrkFace,,0,5,Somerst,32,5,6,Y,0,,CompShg,Gable,Normal,,WD,0,Pave,5,756.0,AllPub,0,2000,2000,2010
41,530,550,0,,2,TwnhsE,TA,No,244.0,0.0,GLQ,Unf,0.0,0.0,Gd,286.0,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,,,0,PConc,2,Typ,496.0,2.0,TA,RFn,TA,Attchd,2003.0,1080,1,GasA,Ex,2Story,1502,1,Gd,Lvl,Gtl,2403,FR2,,IR1,0,160,FV,0.0,None,,0,6,Somerst,50,5,7,Y,0,,CompShg,Gable,Normal,,WD,0,Pave,4,530.0,AllPub,0,2003,2003,2010
42,1418,0,224,Pave,1,1Fam,Po,No,1032.0,0.0,GLQ,Unf,1.0,0.0,Ex,610.0,Y,Norm,Norm,SBrkr,0,TA,Gd,CemntBd,CmentBd,,Gd,1,PConc,1,Typ,852.0,3.0,TA,RFn,TA,Attchd,2010.0,1418,1,GasA,Ex,1Story,1503,1,Gd,Lvl,Gtl,12853,Inside,57.0,IR1,0,20,FV,0.0,None,,0,4,Somerst,192,5,8,Y,0,,CompShg,Gable,Partial,,New,0,Pave,6,1642.0,AllPub,160,2010,2010,2010
43,975,873,0,,3,1Fam,TA,No,484.0,0.0,GLQ,Unf,1.0,0.0,Gd,491.0,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,,TA,1,PConc,2,Typ,592.0,2.0,TA,RFn,TA,Attchd,2000.0,1848,1,GasA,Ex,2Story,1504,1,Gd,Lvl,Gtl,7379,Inside,68.0,IR1,0,60,FV,0.0,None,,0,4,Somerst,184,5,8,Y,0,,CompShg,Gable,Normal,,WD,0,Pave,7,975.0,AllPub,280,2000,2000,2010
44,1492,0,0,,3,1Fam,TA,No,833.0,0.0,GLQ,Unf,1.0,0.0,Gd,659.0,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,,Gd,1,PConc,2,Typ,596.0,2.0,TA,RFn,TA,Attchd,2002.0,1492,0,GasA,Ex,1Story,1505,1,Gd,Lvl,Gtl,8000,Inside,80.0,Reg,0,20,FV,0.0,None,,0,4,Somerst,137,5,7,Y,0,,CompShg,Gable,Normal,,WD,0,Pave,6,1492.0,AllPub,277,2002,2002,2010
45,1829,0,0,,4,1Fam,TA,No,506.0,0.0,GLQ,Unf,1.0,0.0,TA,1323.0,Y,Norm,Norm,SBrkr,0,TA,TA,HdBoard,HdBoard,,,0,CBlock,2,Typ,535.0,2.0,TA,RFn,TA,Attchd,1967.0,1829,0,GasA,Gd,1Story,1506,1,TA,Lvl,Gtl,10456,Inside,,IR1,0,20,RL,120.0,BrkFace,,0,5,NWAmes,76,6,6,Y,0,,CompShg,Hip,Normal,,WD,0,Pave,8,1829.0,AllPub,0,1967,1967,2010
46,1280,1215,0,,4,1Fam,TA,Mn,1137.0,0.0,GLQ,Unf,1.0,0.0,Gd,143.0,Y,Norm,Norm,SBrkr,0,TA,TA,MetalSd,MetalSd,,TA,1,PConc,2,Typ,660.0,2.0,TA,Unf,TA,Attchd,1993.0,2495,1,GasA,Ex,2Story,1507,1,Gd,Lvl,Gtl,10791,Inside,80.0,Reg,0,60,RL,0.0,None,,0,3,NWAmes,32,5,6,Y,0,,CompShg,Gable,Normal,,WD,0,Pave,9,1280.0,AllPub,224,1993,1993,2010
